"Feature" "Gain" "Cover" "Frequency"
"red_top_player" 0.666124151008917 0.264629115773794 0.264705882352941
"mid_counter_winrate" 0.0939526240154847 0.124955967501718 0.117647058823529
"blue_top_player" 0.0554590176440461 0.138953280542409 0.147058823529412
"blue_bot_player" 0.0513540133066542 0.114616092709564 0.117647058823529
"top_counter_winrate" 0.0414208218588455 0.0910963992614352 0.0882352941176471
"blue_jng_player" 0.0319124375216213 0.131662015634144 0.117647058823529
"blue_sup_player" 0.0210662342088821 0.0222367510414468 0.0294117647058824
"jng_counter_winrate" 0.015829179499637 0.0670046186850679 0.0588235294117647
"sup_counter_winrate" 0.0121451060695362 0.0237970978147007 0.0294117647058824
"bot_counter_winrate" 0.010736414866376 0.0210486610357213 0.0294117647058824
