"Round","max.depth","min_child_weight","nrounds","gamma","eta","Value","ks_dev","ks_hold","vars","dev_auc","hold_auc"
1,5,170,56,29,0.0877766318852082,14.9497947272098,25.3801121897806,14.9497947272098,3,0.663811303926369,0.586433309700857
2,4,46,73,38,0.166853027616162,10.6501129412541,33.5951934147549,10.6501129412541,3,0.720366889646843,0.546291075167763
3,4,68,144,33,0.163446062884759,10.6501129412541,33.5951934147549,10.6501129412541,3,0.71804668434781,0.550228905266745
4,5,272,129,30,0.247899014654104,14.6134441311767,23.3303922537218,14.6134441311767,3,0.658058580941859,0.591356009518942
5,2,138,217,24,0.121112366963644,15.2505317307217,25.3801121897806,15.2505317307217,3,0.665323385113302,0.58550559759938
6,3,229,202,43,0.126896577584557,15.3659461509291,23.3070889414768,15.3659461509291,2,0.654206042604968,0.595339455793529
7,3,250,165,18,0.271590347739402,14.8376778618654,24.6305337156372,14.8376778618654,5,0.663822114035983,0.585669925750056
8,3,287,140,31,0.173382178612519,14.9567195924222,22.2090828456697,14.9567195924222,2,0.646436892085276,0.601766939814128
9,5,212,67,39,0.349905631912407,15.6884470165372,23.9773431049426,15.6884470165372,2,0.654997780506608,0.587672640736894
10,4,160,94,9,0.38275254862383,14.8403159057559,29.4968619209647,14.8403159057559,10,0.696528545394387,0.59721081817832
11,5,97,65,22,0.360811028804164,12.8756327183393,29.6969721019807,12.8756327183393,4,0.701763990950159,0.565092084219551
12,5,84,157,11,0.066400571889244,12.9584013454024,33.7254894448174,12.9584013454024,10,0.731742306417625,0.576011387556128
13,3,24,178,23,0.319164179824293,8.58815188537698,41.3685790343534,8.58815188537698,7,0.759911023219294,0.541115013217699
14,5,224,155,25,0.130578897928353,15.4562991541772,24.2981023194664,15.4562991541772,3,0.662107651176646,0.584570191203223
15,4,90,58,46,0.160314441216178,12.9893983611152,29.4145545673808,12.9893983611152,3,0.698299453446331,0.566108280709854
16,4,65,159,45,0.14893435506383,10.6501129412541,33.5951934147549,10.6501129412541,3,0.718936807930625,0.54797062977802
17,2,25,125,49,0.299618477956392,8.65970882590559,40.1362949567144,8.65970882590559,6,0.753037093454356,0.541113914032745
18,3,156,242,28,0.351748270855751,15.3751793045457,25.3801121897806,15.3751793045457,3,0.663258893641384,0.587461597225657
19,4,49,101,37,0.0872132322285324,10.3074969909812,33.5951934147549,10.3074969909812,3,0.719419294595191,0.548986276675845
20,6,244,92,26,0.242614714510273,15.2271190911939,24.4203523438918,15.2271190911939,3,0.659713280315447,0.586352519606712
21,6,119,222,41,0.276929330034182,12.6761306491237,29.222504075685,12.6761306491237,3,0.692443897583653,0.56703214566399
22,5,282,143,43,0.132175344671123,16.9355822657499,22.1589868820004,16.9355822657499,2,0.649101857778914,0.60193786307453
23,6,89,95,16,0.0767040251521394,13.3250894461757,31.9215968748657,13.3250894461757,10,0.716818265910635,0.572183475952581
24,4,152,175,30,0.373083264904562,15.3751793045457,25.0908117626034,15.3751793045457,3,0.665197632066014,0.583790319478107
25,4,74,91,38,0.101525842398405,10.6501129412541,32.8772789832038,10.6501129412541,3,0.714343674457517,0.558284282204745
26,6,183,54,46,0.337836631236132,16.2341923463752,22.5398585161907,16.2341923463752,3,0.65790963405179,0.593008634097816
27,6,149,210,19,0.194731437286828,15.0292657994097,25.2816307228241,15.0292657994097,3,0.665159488799495,0.581432018158535
28,3,151,105,41,0.264382213330828,15.1483075299665,23.1640534024888,15.1483075299665,3,0.661150238082402,0.587074684121724
29,6,132,83,34,0.073842175595928,14.9497947272098,23.779750721609,14.9497947272098,3,0.664682988746266,0.586544327381247
30,4,161,84,37,0.366446269326843,14.8779080311949,25.3801121897806,14.8779080311949,3,0.662569167596929,0.583748550449842
31,6,197,238,14,0.0513189136532073,13.8995235033223,25.9375991211791,13.8995235033223,8,0.671364731182678,0.586323940797898
32,2,280,208,24,0.348694488029878,15.9489538507197,21.7086431889331,15.9489538507197,3,0.647967548871958,0.596777739306304
33,5,182,209,43,0.0616564825156074,15.0355311536496,23.2548309558846,15.0355311536496,3,0.661380500259032,0.591506597857688
34,6,279,250,18,0.0500000000000002,15.4055168092859,22.3433060927693,15.4055168092859,3,0.650255050168487,0.59707067209664
35,4,280,50,50,0.20277708618623,16.9355822657499,22.1589868820004,16.9355822657499,2,0.65051675060694,0.602254428341385
36,6,183,50,8,0.336452935037025,15.2528400191258,29.0804674455601,15.2528400191258,10,0.691258274865235,0.593425225195517
37,2,280,250,50,0.0969499678118398,16.4917313811808,21.8912382556369,16.4917313811808,2,0.643827790027715,0.602641341445318
38,7,283,231,50,0.398819201272908,16.93558226575,21.0030303884497,16.93558226575,1,0.631807324437662,0.602268717745791
39,6,280,134,50,0.258996546359351,16.93558226575,22.8213866113919,16.93558226575,2,0.650008538618227,0.602990332668327
40,5,189,50,50,0.110957765342443,14.9497947272098,23.2548309558846,14.9497947272098,3,0.66111763670752,0.590091397228955
