Feature,Gain,Cover,Frequency
red_top_player,0.666124151,0.264629116,0.264705882
mid_counter_winrate,0.093952624,0.124955968,0.117647059
blue_top_player,0.055459018,0.138953281,0.147058824
blue_bot_player,0.051354013,0.114616093,0.117647059
top_counter_winrate,0.041420822,0.091096399,0.088235294
blue_jng_player,0.031912438,0.131662016,0.117647059
blue_sup_player,0.021066234,0.022236751,0.029411765
jng_counter_winrate,0.015829179,0.067004619,0.058823529
sup_counter_winrate,0.012145106,0.023797098,0.029411765
bot_counter_winrate,0.010736415,0.021048661,0.029411765
