"Round","max.depth","min_child_weight","nrounds","gamma","eta","Value","ks_dev","ks_hold","vars","dev_auc","hold_auc"
1,5,170,56,29,0.0877766318852082,14.8502554055,28.5918568458868,14.8502554055,7,0.690261768950187,0.588304046252887
2,4,46,73,38,0.166853027616162,9.2717881883703,39.6655640741871,9.2717881883703,8,0.756421736314272,0.554895235637814
3,4,68,144,33,0.163446062884759,11.2190364565111,37.5098262260818,11.2190364565111,8,0.743408165075804,0.569944589251976
4,5,272,129,30,0.247899014654104,15.7754443355958,26.7339525525581,15.7754443355958,6,0.677396100610964,0.590693006087748
5,3,138,217,24,0.121112366963644,14.2209257574697,28.2771709922613,14.2209257574697,7,0.690764392188617,0.585743431180463
6,4,229,202,43,0.126896577584557,15.1603281785739,27.0855696025632,15.1603281785739,6,0.680627323399382,0.593334528724372
7,4,250,165,18,0.271590347739402,14.1216499895039,28.0395330269092,14.1216499895039,7,0.684520546959856,0.588193071688475
8,4,287,140,31,0.173382178612519,15.9973934644182,26.5860839059518,15.9973934644182,6,0.67283382023461,0.591391107165349
9,5,212,67,39,0.349905631912407,14.8436953327269,27.3486915320281,14.8436953327269,5,0.678858208799297,0.590908941816528
10,4,160,94,9,0.38275254862383,16.0065775663005,32.6602689585793,16.0065775663005,15,0.717319676120741,0.595837196487299
11,5,97,65,22,0.360811028804164,12.9683891959975,35.0183165992061,12.9683891959975,8,0.735026612588597,0.572791660835491
12,5,84,157,11,0.066400571889244,12.6567857392765,38.4819572506502,12.6567857392765,15,0.75823130328212,0.581882828353508
13,3,24,178,23,0.319164179824293,7.95365089916731,45.1191323943315,7.95365089916731,11,0.787537142706432,0.548407870337974
14,5,224,155,25,0.130578897928353,16.1836995311735,27.8829094055352,16.1836995311735,7,0.683722152175574,0.593261274578405
15,4,90,58,46,0.160314441216178,13.9123836680428,33.7595731847043,13.9123836680428,7,0.723715603070818,0.583687395038836
16,4,65,159,45,0.14893435506383,11.7001084598699,37.1916671547668,11.7001084598699,7,0.742771271488822,0.570405981037017
17,3,25,125,49,0.299618477956392,8.47430200825695,42.870583593054,8.47430200825695,9,0.773783474676852,0.550674375481072
18,4,156,242,28,0.351748270855751,14.1701945280246,27.971568938747,14.1701945280246,7,0.689070564891113,0.586004740745924
19,4,49,101,37,0.0872132322285324,11.9297110069274,38.0257120866948,11.9297110069274,8,0.751767350589129,0.557761987439647
20,6,244,92,26,0.242614714510273,16.1135067525016,27.8297424578256,16.1135067525016,7,0.682047369345874,0.590973449198797
21,6,119,222,41,0.276929330034182,13.6480127352879,27.8065602711165,13.6480127352879,8,0.693347452271515,0.579909339794276
22,5,282,143,43,0.132175344671123,15.0656444615492,26.5025417171465,15.0656444615492,6,0.674665822681619,0.593641758799244
23,5,89,95,16,0.0767040251521394,14.1216499895039,34.9250329596028,14.1216499895039,8,0.733126515893397,0.573313186620951
24,4,152,175,30,0.373083264904562,13.8677751731859,27.9233549227723,13.8677751731859,7,0.690332432146376,0.58520003848576
25,4,74,91,38,0.101525842398405,12.8583986425023,34.9846942078443,12.8583986425023,8,0.7360094235863,0.572647885907214
26,5,183,54,46,0.337836631236132,14.7494489538871,26.9553547665802,14.7494489538871,6,0.683559897420194,0.587754640158141
27,6,149,210,19,0.194731437286828,13.8100465327829,29.1920042007438,13.8100465327829,8,0.697141685702571,0.583617420929256
28,4,151,105,41,0.264382213330828,14.6318049821566,28.3173493389069,14.6318049821566,7,0.689225695097385,0.585910713036177
29,5,132,83,34,0.073842175595928,14.3064253726121,28.6164570918892,14.3064253726121,7,0.690640808663726,0.586132662164999
30,4,161,84,37,0.366446269326843,14.5718896508292,28.0602284719589,14.5718896508292,7,0.689285945491033,0.586425132076132
31,3,252,155,33,0.0500000000000002,14.8502554055,27.2398297917816,14.8502554055,6,0.680802080368339,0.59195910013295
32,5,110,113,8,0.4,13.4923203414737,38.5654994394556,13.4923203414737,15,0.759030862656158,0.587061459135121
33,6,300,50,8,0.218754467580244,16.8421121684977,27.0827129323925,16.8421121684977,12,0.680131345173101,0.594387420404451
34,3,218,50,8,0.157116733327535,14.020843537891,29.7489521261127,14.020843537891,15,0.698488362494318,0.589899783954937
35,3,300,50,29,0.277680124054012,15.9910520607375,25.993417327657,15.9910520607375,6,0.671906875292646,0.59381997410958
36,6,269,50,8,0.118940274554517,14.9510618571129,28.3038674998279,14.9510618571129,14,0.689042443473722,0.592075541424672
37,6,300,172,8,0.252431270610819,16.4098033727521,27.5482474122987,16.4098033727521,13,0.681390540722451,0.597973593520397
38,6,217,59,50,0.111409197970884,14.6164981456861,26.7255880578856,14.6164981456861,6,0.68061228649045,0.593495250507312
39,6,300,185,15,0.0500000000000002,15.8812801763348,26.3340803834104,15.8812801763348,6,0.673605258191262,0.595622354103982
40,6,195,193,15,0.4,14.6333356658037,29.6802687325119,14.6333356658037,10,0.693901625733049,0.583552366874256
41,6,300,91,18,0.19156164131781,15.146333356658,26.6415526310652,15.146333356658,6,0.673155692292094,0.593287514869498
42,3,300,250,8,0.0500000000000002,16.7336522986495,27.341703993481,16.7336522986495,14,0.680944571350472,0.596867674585404
43,6,300,50,43,0.4,14.9906409628437,25.3310808797311,14.9906409628437,4,0.663914021763442,0.590128839829263
44,5,209,243,31,0.217629893525725,14.6283062766776,27.8815324494097,14.6283062766776,6,0.681442536229874,0.591591736057659
45,3,250,55,43,0.358521047109866,14.6103754110979,26.5383631279922,14.6103754110979,5,0.675054658650179,0.586339304457351
46,5,129,250,50,0.0500000000000002,15.3619410817997,28.1811334404071,15.3619410817997,7,0.689729414420294,0.588860012420404
47,6,300,50,8,0.4,15.5865142397313,27.8072384733872,15.5865142397313,14,0.680354364111727,0.596498670491918
48,3,284,128,25,0.0500000000000002,15.5712074032608,27.0367595906536,15.5712074032608,6,0.676044491439066,0.593863161255336
49,3,194,50,8,0.4,15.5712074032608,31.5472568259517,15.5712074032608,15,0.709289966750964,0.597100010496117
50,6,300,50,8,0.0500000000000002,15.8965870128053,26.9286171558457,15.8965870128053,9,0.675407906125845,0.595244056574068
51,5,224,50,22,0.0500000000000002,15.2764414666573,27.8829094055352,15.2764414666573,7,0.683260529347148,0.592339037681058
52,5,246,50,31,0.170460687814321,14.6409890840389,28.208713666084,14.6409890840389,6,0.680016119292354,0.5927916827024
53,5,300,250,34,0.4,15.7575134700161,26.339690965832,15.7575134700161,6,0.670627710454214,0.590010758519348
54,5,300,250,34,0.0500000000000002,16.199006367644,26.477941471144,16.199006367644,6,0.672328114258586,0.59503468091806
55,5,300,250,8,0.0505480894111401,16.8268053320271,27.061359836656,16.8268053320271,14,0.68092562964059,0.59656973794696
56,6,300,250,27,0.202513031360438,15.7728203064866,26.5895982268093,15.7728203064866,6,0.672964973592927,0.59280152281156
57,3,221,50,26,0.4,14.8272951507942,26.9239930494543,14.8272951507942,5,0.676048841524338,0.590829127597789
58,3,300,50,23,0.133055782707466,16.0828930795606,26.6371545920973,16.0828930795606,6,0.673550693735843,0.591733324295011
59,6,300,250,8,0.131029616612936,16.3227730739626,26.9070379926857,16.3227730739626,13,0.678730446452334,0.593172166923238
60,6,300,86,46,0.0500000000000002,16.3227730739626,26.2403035057919,16.3227730739626,6,0.671606719408882,0.594929719753691
