"Round","max.depth","min_child_weight","nrounds","gamma","eta","Value","ks_dev","ks_hold","vars","dev_auc","hold_auc"
1,5,170,56,29,0.0877766318852082,13.7641260233714,29.298276441411,13.7641260233714,10,0.695981343272079,0.589297897278008
2,4,46,73,38,0.166853027616162,9.07935938702681,41.6815305997672,9.07935938702681,11,0.771273578232858,0.558381367643972
3,4,68,144,33,0.163446062884759,10.8726646140928,38.8715947309849,10.8726646140928,10,0.755757063836302,0.57054374256525
4,5,272,129,30,0.247899014654104,14.1216499895039,27.1713724656044,14.1216499895039,7,0.680211427845272,0.593995456056259
5,3,138,217,24,0.121112366963644,14.1201193058568,30.0228019824058,14.1201193058568,13,0.70259518551744,0.587761200230914
6,4,229,202,43,0.126896577584557,15.2764414666573,27.0855696025632,15.2764414666573,6,0.680627323399382,0.595046707718144
7,4,250,165,18,0.271590347739402,14.020843537891,29.008190833788,14.020843537891,11,0.694630864437299,0.593717746308866
8,4,287,140,31,0.173382178612519,14.6318049821566,26.7142024803707,14.6318049821566,7,0.675560296120923,0.596192533762508
9,5,212,67,39,0.349905631912407,14.7402648520048,27.3486915320281,14.7402648520048,5,0.678858208799297,0.592614014064796
10,4,160,94,9,0.38275254862383,13.3945752571548,35.6219371717527,13.3945752571548,24,0.739028142996553,0.588884612693304
11,5,97,65,22,0.360811028804164,12.0289867748933,36.6933940016092,12.0289867748933,12,0.749288863815957,0.572798220908264
12,5,84,157,11,0.066400571889244,12.6491323210412,41.7220994265081,12.6491323210412,25,0.780914874311651,0.584435790007698
13,3,24,178,23,0.319164179824293,8.92497900776713,46.8682366021655,8.92497900776713,15,0.805709641056309,0.552222552655517
14,5,224,155,25,0.130578897928353,16.1135067525016,28.3660565928968,16.1135067525016,10,0.692383514478419,0.594366646840669
15,4,90,58,46,0.160314441216178,13.99022986495,33.7595731847043,13.99022986495,7,0.723715603070818,0.585523668742566
16,4,65,159,45,0.14893435506383,11.2168497655867,37.371966200865,11.2168497655867,8,0.748545101992373,0.567529935798754
17,3,25,125,49,0.299618477956392,9.10210097264011,43.4962149120238,9.10210097264011,10,0.778933701617718,0.553013041424673
18,4,156,242,28,0.351748270855751,13.2294800923658,28.4428784137465,13.2294800923658,9,0.697630059842787,0.587510277447345
19,4,49,101,37,0.0872132322285324,11.0926457210832,38.0223005237571,11.0926457210832,9,0.762399781057126,0.560871461934084
20,6,244,92,26,0.242614714510273,15.4704009516479,27.6231990390079,15.4704009516479,9,0.687232396968914,0.594028803092855
21,6,119,222,41,0.276929330034182,13.7962703799594,27.8065602711165,13.7962703799594,8,0.693347452271515,0.58116559373032
22,5,282,143,43,0.132175344671123,14.9296322860542,26.5025417171465,14.9296322860542,6,0.674665822681619,0.595635474249528
23,5,89,95,16,0.0767040251521394,13.4938510251207,38.0013379081159,13.4938510251207,19,0.75611020855405,0.581434010041285
24,4,152,175,30,0.373083264904562,13.7962703799594,29.2920082083026,13.7962703799594,10,0.70034526661056,0.588478434854104
