"Round","max.depth","min_child_weight","nrounds","gamma","eta","Value","ks_dev","ks_hold","vars","dev_auc","hold_auc"
1,5,170,56,29,0.0877766318852082,11.9034707158351,25.4385040091002,11.9034707158351,3,0.66771849673384,0.571088228605416
2,4,46,73,38,0.166853027616162,7.38620460429641,36.9046437331541,7.38620460429641,4,0.735996750109523,0.542136987439647
3,4,68,144,33,0.163446062884759,9.30655657406758,33.6574112608294,9.30655657406758,4,0.722062022625239,0.552672464313204
4,5,272,129,30,0.247899014654104,10.9581642292352,23.8317195202027,10.9581642292352,2,0.655370831068377,0.576621103316773
5,3,138,217,24,0.121112366963644,11.0895843537891,26.1648997442355,11.0895843537891,4,0.675446988388012,0.565376591910993
6,4,229,202,43,0.126896577584557,11.9507032398013,24.2657689734792,11.9507032398013,2,0.657683706327456,0.574478146210902
7,4,250,165,18,0.271590347739402,10.9581642292352,24.4260713283825,10.9581642292352,3,0.663811058327793,0.570621916765797
8,4,287,140,31,0.173382178612519,11.5441973969631,24.0890253514064,11.5441973969631,2,0.654897117058054,0.576336833496606
9,5,212,67,39,0.349905631912407,10.9581642292352,24.2720783097555,10.9581642292352,2,0.657409787965883,0.573282026275278
10,4,160,94,9,0.38275254862383,12.3451822825555,28.9952022327241,12.3451822825555,10,0.694676797227454,0.57177266286474
11,5,97,65,22,0.360811028804164,9.78041249737596,32.3820621664863,9.78041249737596,4,0.715602762543916,0.552423181547827
12,5,84,157,11,0.066400571889244,11.6104541319712,34.8479850713294,11.6104541319712,10,0.734763655071805,0.56068395318732
13,3,24,178,23,0.319164179824293,6.85658806241689,41.3105334060859,6.85658806241689,7,0.765791340453087,0.54148590021692
14,5,224,155,25,0.130578897928353,11.546165418795,25.0264036474951,11.546165418795,3,0.66152198865347,0.573362387166748
15,4,90,58,46,0.160314441216178,11.1873294381079,29.8734330701703,11.1873294381079,3,0.702786623522041,0.56522953694633
16,4,65,159,45,0.14893435506383,9.3065565740676,33.6574112608294,9.3065565740676,3,0.721959949758228,0.554484684416766
17,3,25,125,49,0.299618477956392,7.37220978238051,40.9536345990026,7.37220978238051,6,0.75956123053294,0.541412646070954
18,4,156,242,28,0.351748270855751,11.8284672171297,25.9593428014481,11.8284672171297,3,0.668210261885409,0.566949369358337
19,4,49,101,37,0.0872132322285324,7.38620460429641,34.0510151968688,7.38620460429641,4,0.732901578806933,0.544019181652788
20,6,244,92,26,0.242614714510273,11.6880816597859,24.571103856402,11.6880816597859,3,0.660830222337311,0.575049419214891
21,6,119,222,41,0.276929330034182,11.5936166118536,25.6534119225904,11.5936166118536,4,0.669964921871441,0.56878728308026
22,5,282,143,43,0.132175344671123,11.7110419144916,24.2657689734792,11.7110419144916,2,0.655039162755872,0.57638384735148
23,5,89,95,16,0.0767040251521394,10.5564691064306,31.6616674938679,10.5564691064306,4,0.713927397419338,0.550676562171996
24,4,152,175,30,0.373083264904562,11.8284672171297,25.9593428014481,11.8284672171297,3,0.668210261885409,0.566949369358337
25,4,74,91,38,0.101525842398405,9.3065565740676,33.6574112608294,9.3065565740676,3,0.718221856404028,0.557816108040025
26,5,183,54,46,0.337836631236132,10.9489801273529,25.9593428014481,10.9489801273529,3,0.665818023259598,0.566467750682248
27,6,149,210,19,0.194731437286828,11.1368168777552,25.7077297590019,11.1368168777552,4,0.67467596146304,0.565607834476244
28,4,151,105,41,0.264382213330828,11.6727748233154,25.9593428014481,11.6727748233154,3,0.666752264013868,0.569425250157442
29,5,132,83,34,0.073842175595928,12.166310964943,25.9593428014481,12.166310964943,3,0.66914977754623,0.568073328493457
30,4,161,84,37,0.366446269326843,10.3636029669022,25.9593428014481,10.3636029669022,3,0.66836087074321,0.566501644391575
31,3,169,50,50,0.0500000000000002,10.9581642292352,23.8936208910961,10.9581642292352,2,0.656367959669572,0.571428259044154
32,6,199,50,8,0.237719133273028,12.3467129662025,27.4185258143308,12.3467129662025,10,0.68498696515787,0.575496050836191
33,4,279,50,8,0.0500000000000002,13.2769312854244,24.4440950675171,13.2769312854244,7,0.663914124521362,0.574023314498636
34,6,300,50,29,0.0500000000000002,11.9655727380869,21.9356714870407,11.9655727380869,2,0.648910543407857,0.580184862850745
35,4,240,50,8,0.0500000000000002,11.2820131551326,25.0305345158715,11.2820131551326,8,0.667748981583383,0.572215467776923
36,5,300,126,8,0.0500000000000002,12.1359159610944,24.0289119683177,12.1359159610944,5,0.657925290196929,0.577538966832272
37,3,286,50,8,0.161188724256029,12.3467129662025,24.72883726331,12.3467129662025,9,0.663870041373764,0.575041219123924
38,4,180,184,8,0.4,11.188860121755,28.5756210945568,11.188860121755,10,0.692030164244835,0.571469259498987
39,4,154,50,8,0.215506041261495,11.6089234483241,28.828343922537,11.6089234483241,10,0.697014676913687,0.568544013714925
40,5,131,199,8,0.4,11.500463578476,30.2017240723786,11.500463578476,10,0.706208188230591,0.56688595532153
41,5,272,97,21,0.0500000000000002,12.014773283885,24.4674827700658,12.014773283885,2,0.648554110436677,0.57844097683857
42,3,300,50,8,0.0500000000000002,12.8446224896788,23.8604506345815,12.8446224896788,5,0.656898841335949,0.577506166468407
43,5,187,187,50,0.214834378691753,11.6727748233154,25.9593428014481,11.6727748233154,3,0.666876190065159,0.569222981246939
44,5,85,250,8,0.0500000000000002,10.5641225246659,34.9561275061372,10.5641225246659,10,0.739846678333112,0.559953598418584
45,5,300,50,8,0.0500000000000002,12.8446224896788,23.8604506345815,12.8446224896788,5,0.656898841335949,0.577506166468407
46,4,122,137,50,0.138462943021634,11.8284672171297,25.9593428014481,11.8284672171297,3,0.667653999012839,0.569694213141138
47,5,288,250,40,0.0786188745089097,11.9655727380869,21.9356714870407,11.9655727380869,2,0.649889072825565,0.580534733398642
48,5,198,50,8,0.4,12.9668585123504,27.1233228623013,12.9668585123504,10,0.687900494710878,0.575212874361485
49,3,231,50,8,0.385343630572015,11.5096476803583,26.0251695248782,11.5096476803583,9,0.675654627891308,0.569654852704499
50,6,192,90,8,0.342701914571895,11.9266496396333,28.1657814071875,11.9266496396333,10,0.691215328193383,0.573815032188091
51,5,174,50,8,0.4,13.5931267930866,28.4099136730716,13.5931267930866,10,0.694027778205934,0.580213836505493
52,4,176,50,8,0.361350941629141,11.500463578476,28.9770962872536,11.500463578476,10,0.690909006834431,0.567077837450144
53,4,300,50,28,0.0500000000000002,11.9655727380869,21.9356714870407,11.9655727380869,2,0.648910543407857,0.580184862850745
54,5,281,50,8,0.095718296495521,12.8354383877965,24.3197168813793,12.8354383877965,7,0.664762767928431,0.574679868448674
55,5,157,101,8,0.246354639521311,12.5467951857813,30.0657342413023,12.5467951857813,10,0.702021488051135,0.573069370582884
56,3,190,153,8,0.262987047757368,12.641478902806,28.4396312634806,12.641478902806,10,0.690811112789491,0.573455321531035
57,5,188,98,28,0.216614585549706,11.2529301658386,25.4385040091002,11.2529301658386,3,0.666001480399098,0.5723996964873
58,4,148,184,8,0.289850318529965,11.7112605835841,28.8678029637439,11.7112605835841,10,0.69811339884493,0.569692573122946
59,5,127,250,50,0.4,11.0447571898398,25.9593428014481,11.0447571898398,3,0.666379663796638,0.562958111748653
60,6,162,50,8,0.4,12.229068994472,28.3136089506258,12.229068994472,10,0.694802401658104,0.574227223427332
