Round,max.depth,min_child_weight,nrounds,gamma,eta,Value,ks_dev,ks_hold,vars,dev_auc,hold_auc
1,8,330,23,7,0.371586647,15.05069991,23.27171662,15.05069991,8,0.654863065,0.595771985
2,7,264,29,8,0.416773159,16.54053519,25.91997454,16.54053519,8,0.672683633,0.594138047
3,8,275,58,8,0.414826322,15.66206658,24.95828529,15.66206658,8,0.666112968,0.59643919
4,9,385,52,7,0.463085151,16.45545828,22.47175483,16.45545828,8,0.651435815,0.599471292
5,6,313,87,6,0.390635638,16.45545828,24.39899211,16.45545828,10,0.665569794,0.60373613
6,7,362,81,9,0.393940901,15.80649948,23.26472426,15.80649948,6,0.653653119,0.597328981
7,7,373,66,5,0.476623056,14.93132842,23.90728265,14.93132842,10,0.659272905,0.600724912
8,7,393,56,7,0.420504102,16.61176238,22.24340152,16.61176238,7,0.642771239,0.594144092
9,8,353,27,8,0.521374647,15.19249477,23.17829812,15.19249477,6,0.65270354,0.598844757
10,8,325,38,4,0.540144313,17.54991674,25.41644237,17.54991674,10,0.668164323,0.604278028
11,9,291,26,6,0.527606302,15.92092463,23.9302165,15.92092463,10,0.662377835,0.601935665
12,8,284,63,4,0.359371755,16.66584228,26.3141604,16.66584228,10,0.677242455,0.608487357
13,6,252,71,6,0.503808103,15.62216616,27.30747263,15.62216616,10,0.687568983,0.601814205
14,8,359,62,6,0.396045085,15.16446555,23.35161565,15.16446555,8,0.656205947,0.595864866
15,7,287,23,9,0.413036824,16.07722873,23.48895877,16.07722873,8,0.659844815,0.598606783
16,8,274,64,9,0.406533917,15.10214176,25.16081749,15.10214176,10,0.667404126,0.596947014
17,6,253,50,10,0.49263913,14.98211076,25.79470042,14.98211076,9,0.674020221,0.589155441
18,7,323,97,7,0.522427583,15.94367776,23.5193776,15.94367776,8,0.657830884,0.593653856
19,8,265,41,8,0.371264704,15.77022638,26.23498661,15.77022638,10,0.675954649,0.597530681
20,9,370,37,7,0.460065551,14.81492473,22.84976657,14.81492473,8,0.655054294,0.595974235
21,9,303,89,9,0.479673903,16.01754299,23.90294492,16.01754299,8,0.659578051,0.59946085
22,8,390,57,9,0.39695734,16.09701406,22.56565226,16.09701406,6,0.647646803,0.600933208
23,9,287,38,5,0.365259443,16.21077971,25.33847274,16.21077971,10,0.669422709,0.609546421
24,7,321,70,7,0.534619009,15.88399202,24.18681293,15.88399202,8,0.658323394,0.594664556
25,8,279,36,8,0.379443339,16.70838074,24.90590415,16.70838074,10,0.667087896,0.600865059
26,9,337,22,9,0.514478075,15.43717334,23.0035438,15.43717334,6,0.653765702,0.593869296
27,9,319,84,6,0.432703678,16.11416135,24.50109976,16.11416135,10,0.662813216,0.599818634
28,7,320,42,9,0.472504122,15.36858419,22.83843648,15.36858419,6,0.654052409,0.595254269
29,9,310,33,8,0.3636241,16.51514402,23.69510346,16.51514402,8,0.657598125,0.597400428
30,7,326,34,8,0.53082644,15.85233549,23.40399678,15.85233549,7,0.655651484,0.596767297
31,10,331,43,4,0.422437532,15.92916852,24.09822476,15.92916852,10,0.664112824,0.598349024
32,8,308,36,4,0.55,16.99823581,24.99739326,16.99823581,10,0.667703457,0.601400362
33,10,284,31,7,0.35,15.90377735,24.29881387,15.90377735,10,0.663893919,0.606508274
34,7,326,39,4,0.521441677,16.44391684,25.16515521,16.44391684,10,0.66655714,0.604546779
35,8,322,38,5,0.356014395,15.90377735,23.90197338,15.90377735,10,0.659415934,0.599424027
36,9,329,41,4,0.545802268,16.98108852,24.64134383,16.98108852,10,0.665626889,0.603446494
37,7,381,38,4,0.541603726,15.04245602,22.95645825,15.04245602,10,0.657566584,0.60093101
38,9,327,35,4,0.55,17.32238545,24.48420041,17.32238545,10,0.666262394,0.600393508
39,8,323,37,5,0.55,15.63931345,24.02966951,15.63931345,9,0.662668306,0.6018208
40,8,327,37,4,0.35,16.17384709,23.93649731,16.17384709,9,0.660383165,0.597615868
41,8,328,37,4,0.542506888,16.82214638,24.30219374,16.82214638,10,0.665549645,0.601263513
42,9,323,24,4,0.532732834,17.33953274,24.42313013,17.33953274,10,0.663269464,0.597939578
43,7,273,69,7,0.471982633,15.81276483,26.34868433,15.81276483,10,0.676146323,0.597353712
44,9,263,53,8,0.434668234,16.97845048,25.91804514,16.97845048,10,0.677556016,0.599712014
45,9,289,81,6,0.509291922,17.03253038,25.50358006,17.03253038,10,0.670504677,0.605284881
46,8,308,35,4,0.525417231,16.13691448,24.40092151,16.13691448,10,0.665506165,0.605268943
47,7,299,63,10,0.4851258,15.75571714,23.30960674,15.75571714,8,0.657405938,0.598958522
48,8,256,28,9,0.433542098,15.52290976,26.13287896,15.52290976,10,0.676561931,0.597712047
