Round,max.depth,min_child_weight,nrounds,gamma,eta,Value,ks_dev,ks_hold,vars,dev_auc,hold_auc
1,7,296,66,4,0.547366375,15.96346309,26.07180868,15.96346309,10,0.676584783,0.604370909
2,10,279,61,9,0.547486628,15.54269509,23.03635727,15.54269509,7,0.656844565,0.599876891
3,6,316,55,7,0.497210715,16.49799674,24.07143211,16.49799674,9,0.661039571,0.595169632
4,8,346,44,6,0.542647768,16.45545828,23.92444199,16.45545828,8,0.656980136,0.599968124
5,8,381,61,9,0.518315633,16.17219831,22.81959405,16.17219831,4,0.649126386,0.599134392
6,7,339,28,8,0.53300021,15.85233549,23.40399678,15.85233549,7,0.655649569,0.596760702
7,9,398,43,10,0.37252589,15.29175117,22.21782672,15.29175117,3,0.637896016,0.595834089
8,6,265,24,7,0.438348537,15.90938319,26.43920189,15.90938319,9,0.675415033,0.597527383
9,7,358,66,8,0.374551839,15.52290976,23.15270963,15.52290976,7,0.653868056,0.596576588
10,8,291,52,9,0.533836418,15.54269509,23.30914149,15.54269509,7,0.656851475,0.599033816
11,7,279,25,4,0.525066926,16.82214638,25.24167437,16.82214638,10,0.670916591,0.607872363
12,7,254,71,9,0.450658012,15.67360802,26.07977259,15.67360802,9,0.677194049,0.592693168
13,8,317,49,7,0.44751518,16.15669981,23.80156251,16.15669981,8,0.660152766,0.593502718
14,10,386,82,9,0.482119471,16.24507428,22.71171189,16.24507428,6,0.647082557,0.602123625
15,7,290,72,6,0.452092016,15.71054063,25.58082445,15.71054063,10,0.668274648,0.603872429
16,9,277,55,6,0.528438459,16.15406176,26.98256726,16.15406176,10,0.6792726,0.602402269
17,9,258,20,7,0.469060318,15.83255016,26.32382108,15.83255016,9,0.675716279,0.594020434
18,6,313,96,5,0.506941033,17.30523817,26.21012335,17.30523817,10,0.673642757,0.603907603
19,7,381,69,8,0.49078958,15.27262535,22.47900718,15.27262535,7,0.652429901,0.596724978
20,8,373,69,6,0.3770434,15.43156749,22.58520624,15.43156749,10,0.655698898,0.600069798
21,7,306,53,4,0.353481848,17.35931807,25.24167437,17.35931807,10,0.66880749,0.607750353
22,7,296,54,8,0.438872232,17.40185652,24.27299276,17.40185652,8,0.662150036,0.598649102
23,6,357,29,6,0.417049799,15.01079949,23.16863744,15.01079949,10,0.656074276,0.598002781
24,9,340,33,6,0.43406216,15.02530873,23.5193776,15.02530873,9,0.657359858,0.594961886
25,7,361,26,6,0.350818499,15.37484955,22.33922836,15.37484955,8,0.654910308,0.597002523
26,9,273,76,4,0.515193342,15.63931345,28.39685801,15.63931345,10,0.687683002,0.600029678
27,9,344,60,9,0.441264258,15.61952812,23.54955012,15.61952812,7,0.655813533,0.593070738
28,7,382,30,6,0.48965389,15.25547806,22.78579535,15.25547806,8,0.653966168,0.598979407
29,9,252,27,5,0.501133723,15.94367776,27.01804905,15.94367776,10,0.682750274,0.5954142
30,9,264,21,5,0.363701231,15.71614648,25.68365733,15.71614648,10,0.675122852,0.596634845
31,7,257,43,10,0.360018512,15.20964205,25.02684054,15.20964205,8,0.67163211,0.592233159
32,7,304,55,4,0.519664087,17.14629602,25.16177534,17.14629602,10,0.673586517,0.606437926
33,7,280,47,4,0.358857915,15.69339335,25.82487294,15.69339335,10,0.67362466,0.608194973
34,7,284,55,10,0.35,16.12240524,23.41461532,16.12240524,8,0.657745704,0.599953834
35,7,376,53,4,0.460275667,15.98061038,23.38709744,15.98061038,10,0.660814988,0.597665331
36,10,319,54,4,0.35058597,16.91876474,24.99401339,16.91876474,10,0.666855034,0.601081048
37,10,367,47,6,0.371671369,15.47146791,22.93159499,15.47146791,8,0.655480986,0.595807159
38,8,374,52,9,0.453747815,14.91978698,23.11289011,14.91978698,5,0.651921791,0.597713695
39,10,280,53,4,0.477318528,16.55207664,26.31488563,16.55207664,10,0.678756486,0.60624447
40,9,302,93,5,0.514961369,16.72552802,25.90404673,16.72552802,10,0.674262662,0.604003781
41,8,300,27,4,0.386595533,16.11416135,24.17256821,16.11416135,10,0.664838606,0.602179134
42,8,360,29,8,0.381933524,15.56808626,23.33206166,15.56808626,8,0.654933159,0.59585992
43,10,351,84,9,0.458243905,15.26108391,23.45275175,15.26108391,7,0.65514033,0.593844015
44,7,271,21,4,0.391145858,15.29537848,26.09667194,15.29537848,10,0.67430621,0.597427358
45,7,301,55,5,0.42095143,15.88399202,24.92014887,15.88399202,10,0.667656761,0.602271466
46,7,320,54,5,0.511954934,16.30476002,25.46641518,16.30476002,10,0.667153065,0.600123109
47,8,302,54,8,0.528414339,15.98061038,24.66886171,15.98061038,8,0.663945678,0.60090298
48,10,302,30,4,0.503981745,16.43831099,25.30009001,16.43831099,10,0.667326847,0.603670179
49,7,323,100,6,0.503827548,16.28761274,26.0005988,16.28761274,10,0.667668905,0.601035432
