Round,max.depth,min_child_weight,nrounds,gamma,eta,Value,ks_dev,ks_hold,vars,dev_auc,hold_auc
1,5,170,56,29,0.087776632,14.94979473,25.38011219,14.94979473,3,0.663811304,0.58643331
2,4,46,73,38,0.166853028,10.65011294,33.59519341,10.65011294,3,0.72036689,0.546291075
3,4,68,144,33,0.163446063,10.65011294,33.59519341,10.65011294,3,0.718046684,0.550228905
4,5,272,129,30,0.247899015,14.61344413,23.33039225,14.61344413,3,0.658058581,0.59135601
5,2,138,217,24,0.121112367,15.25053173,25.38011219,15.25053173,3,0.665323385,0.585505598
6,3,229,202,43,0.126896578,15.36594615,23.30708894,15.36594615,2,0.654206043,0.595339456
7,3,250,165,18,0.271590348,14.83767786,24.63053372,14.83767786,5,0.663822114,0.585669926
8,3,287,140,31,0.173382179,14.95671959,22.20908285,14.95671959,2,0.646436892,0.60176694
9,5,212,67,39,0.349905632,15.68844702,23.9773431,15.68844702,2,0.654997781,0.587672641
10,4,160,94,9,0.382752549,14.84031591,29.49686192,14.84031591,10,0.696528545,0.597210818
11,5,97,65,22,0.360811029,12.87563272,29.6969721,12.87563272,4,0.701763991,0.565092084
12,5,84,157,11,0.066400572,12.95840135,33.72548944,12.95840135,10,0.731742306,0.576011388
13,3,24,178,23,0.31916418,8.588151885,41.36857903,8.588151885,7,0.759911023,0.541115013
14,5,224,155,25,0.130578898,15.45629915,24.29810232,15.45629915,3,0.662107651,0.584570191
15,4,90,58,46,0.160314441,12.98939836,29.41455457,12.98939836,3,0.698299453,0.566108281
16,4,65,159,45,0.148934355,10.65011294,33.59519341,10.65011294,3,0.718936808,0.54797063
17,2,25,125,49,0.299618478,8.659708826,40.13629496,8.659708826,6,0.753037093,0.541113914
18,3,156,242,28,0.351748271,15.3751793,25.38011219,15.3751793,3,0.663258894,0.587461597
19,4,49,101,37,0.087213232,10.30749699,33.59519341,10.30749699,3,0.719419295,0.548986277
20,6,244,92,26,0.242614715,15.22711909,24.42035234,15.22711909,3,0.65971328,0.58635252
21,6,119,222,41,0.27692933,12.67613065,29.22250408,12.67613065,3,0.692443898,0.567032146
22,5,282,143,43,0.132175345,16.93558227,22.15898688,16.93558227,2,0.649101858,0.601937863
23,6,89,95,16,0.076704025,13.32508945,31.92159687,13.32508945,10,0.716818266,0.572183476
24,4,152,175,30,0.373083265,15.3751793,25.09081176,15.3751793,3,0.665197632,0.583790319
25,4,74,91,38,0.101525842,10.65011294,32.87727898,10.65011294,3,0.714343674,0.558284282
26,6,183,54,46,0.337836631,16.23419235,22.53985852,16.23419235,3,0.657909634,0.593008634
